gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Question_and_Answering,Question–answer,498,0.005711938833371236,-0.004821427265444961,0.015148024774963926,0.12887112887112886,bits per held-out trace,0.050829384983049064,0.01978605766302187,0.07936905122305522,conditional timing centroid difference: positive means later,0.24620155963439547,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Perspective_Shift,Perspective shift,498,0.02095681743656616,-0.0004928523038071654,0.04420721169649181,0.03796203796203796,bits per held-out trace,0.011307885887393176,-0.005296910518991185,0.028292840385959434,conditional timing centroid difference: positive means later,0.10640454436074874,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Conflict_of_Perspectives,Perspective conflict,498,-3.0354004974252107e-05,-0.011586342758000143,0.011767405934022857,0.5004995004995005,bits per held-out trace,-0.02338179034818655,-0.04554094745630459,0.00010149115916693,conditional timing centroid difference: positive means later,0.6301370760387154,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Reconciliation,Reconciliation,498,0.04803374717491146,0.023569596490594834,0.07194876289271486,0.000999000999000999,bits per held-out trace,-0.05201374788348623,-0.07498353996168852,-0.028959763347491452,conditional timing centroid difference: positive means later,0.0073772381464689155,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Question_and_Answering,Question–answer,154,0.00448079451260705,-0.01886317253593958,0.02803266290709267,0.34265734265734266,bits per held-out trace,-0.03518622694404183,-0.06264194561081837,-0.008769011693343117,conditional timing centroid difference: positive means later,0.48733488733488733,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Perspective_Shift,Perspective shift,154,-0.0023826793571277076,-0.033562955047819296,0.02591080158630143,0.5454545454545454,bits per held-out trace,-0.007338118439628172,-0.021851907930985435,0.008118133591348978,conditional timing centroid difference: positive means later,0.6694961089865548,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Conflict_of_Perspectives,Perspective conflict,154,0.059116303524563395,-0.008514143370534603,0.12862967026464894,0.053946053946053944,bits per held-out trace,-0.0827821996456583,-0.10142776263402227,-0.06289617552418372,conditional timing centroid difference: positive means later,0.1390287564784209,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Reconciliation,Reconciliation,154,0.06896492249274477,-0.0031354463773931355,0.13336973250179052,0.027972027972027972,bits per held-out trace,-0.2783946034479889,-0.3010207108979262,-0.25729855556941206,conditional timing centroid difference: positive means later,0.08524808524808525,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,timing,Question_and_Answering,Question–answer,484,0.005831724757620975,-0.00940311346734655,0.01927606222847203,0.22277722277722278,bits per held-out trace,-0.08410464705289633,-0.1091523511349909,-0.059490924450922265,conditional timing centroid difference: positive means later,0.36248497265446417,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,timing,Perspective_Shift,Perspective shift,484,0.011551694906847553,-0.00433275970435212,0.028807108937176883,0.0959040959040959,bits per held-out trace,0.003565791995074341,-0.005859960848522023,0.013062253877650235,conditional timing centroid difference: positive means later,0.2068942293661395,False
