feature,missing_rate
trace_id,0.0
n_valid,0.0
Question_and_Answering__count,0.0
Question_and_Answering__rate,9.045271584279318e-05
Question_and_Answering__centroid,0.3009361856089729
Perspective_Shift__count,0.0
Perspective_Shift__rate,9.045271584279318e-05
Perspective_Shift__centroid,0.06946768576726516
Conflict_of_Perspectives__count,0.0
Conflict_of_Perspectives__rate,9.045271584279318e-05
Conflict_of_Perspectives__centroid,0.2079960200805029
Reconciliation__count,0.0
Reconciliation__rate,9.045271584279318e-05
Reconciliation__centroid,0.1977748631902673
verification__count,0.0
verification__rate,9.045271584279318e-05
verification__centroid,0.2029758943512279
backtracking__count,0.0
backtracking__rate,9.045271584279318e-05
backtracking__centroid,0.42508253810320656
subgoal__count,0.0
subgoal__rate,9.045271584279318e-05
subgoal__centroid,0.07973406901542218
backward_chaining__count,0.0
backward_chaining__rate,9.045271584279318e-05
backward_chaining__centroid,0.8335670028492606
dialectical_amount,9.045271584279318e-05
control_amount,9.045271584279318e-05
dialectical_presence,9.045271584279318e-05
control_presence,9.045271584279318e-05
coupling_presence,9.045271584279318e-05
coupling_excess,9.045271584279318e-05
dialectical_centroid,0.05621636289629596
control_centroid,0.05011080457690742
dialectical_early,9.045271584279318e-05
dialectical_middle,0.014020170955632943
dialectical_late,0.008050291710008593
control_early,9.045271584279318e-05
control_middle,0.014020170955632943
control_late,0.008050291710008593
Question_and_Answering__early,9.045271584279318e-05
Question_and_Answering__middle,0.014020170955632943
Question_and_Answering__late,0.008050291710008593
Perspective_Shift__early,9.045271584279318e-05
Perspective_Shift__middle,0.014020170955632943
Perspective_Shift__late,0.008050291710008593
Conflict_of_Perspectives__early,9.045271584279318e-05
Conflict_of_Perspectives__middle,0.014020170955632943
Conflict_of_Perspectives__late,0.008050291710008593
Reconciliation__early,9.045271584279318e-05
Reconciliation__middle,0.014020170955632943
Reconciliation__late,0.008050291710008593
verification__early,9.045271584279318e-05
verification__middle,0.014020170955632943
verification__late,0.008050291710008593
backtracking__early,9.045271584279318e-05
backtracking__middle,0.014020170955632943
backtracking__late,0.008050291710008593
subgoal__early,9.045271584279318e-05
subgoal__middle,0.014020170955632943
subgoal__late,0.008050291710008593
backward_chaining__early,9.045271584279318e-05
backward_chaining__middle,0.014020170955632943
backward_chaining__late,0.008050291710008593
D_rate_bin00,9.045271584279318e-05
D_shape_bin00,0.05621636289629596
D_rate_bin01,0.059336981592872325
D_shape_bin01,0.05621636289629596
D_rate_bin02,0.06141739405725657
D_shape_bin02,0.05621636289629596
D_rate_bin03,0.07064357107322147
D_shape_bin03,0.05621636289629596
D_rate_bin04,0.06783953688209489
