replicate,null_effect
0,0.0003674303854655043
1,-3.7964066173149437e-05
2,-0.00029531633141019253
3,-4.2154194360607344e-05
4,0.00040906204864394046
5,3.094029004951952e-05
6,9.354276596419999e-05
7,0.00013007109678084944
8,-7.636557100045591e-05
9,-2.5242134460205335e-06
10,1.3401498804219724e-05
11,-0.0001873510053805987
12,0.0002074867675999639
13,-8.369790070660287e-05
14,5.121954034115159e-05
15,-0.0002566133112565741
16,-4.342161227141429e-05
17,-0.0002540461215772303
18,2.9841680162425447e-05
19,-8.837253583975741e-06
20,0.00013211707411979337
21,8.762672156008306e-05
22,1.6757121817766458e-05
23,-0.00010764287381456497
24,-0.00014183107130940272
25,0.0002527517528648488
26,0.00040771074228355275
27,0.00013558670408223358
28,3.7406337739752236e-05
29,1.98198241406891e-05
30,8.69481070245686e-05
31,0.000171365491305429
32,4.2813543142282335e-05
33,8.430174479544837e-05
34,0.0004072421872589645
35,-0.0001136579813023825
36,0.0001768669050214114
37,-0.00015677212226537999
38,0.0001318940175819355
39,-0.00022036674718059062
40,-3.0891273410410393e-06
41,1.0537149228546367e-05
42,7.294241635753906e-05
43,4.682456894667385e-05
44,0.00015908124218144798
45,-5.644042195106118e-05
46,0.00012453272794380206
47,7.779651244683449e-05
48,-9.458008155455645e-05
49,-0.00019115868963803594
50,1.5254430718957593e-05
51,-0.00018785911791652352
52,-4.531038899251585e-05
53,-0.00011236479147440283
54,-3.090072895724664e-06
55,-0.00014164978831334303
56,1.8554118015699042e-05
57,-3.6222448504154734e-05
58,-1.9474553076165412e-05
59,0.00011744323016271334
60,0.00039818849207592965
61,0.0001652545406726014
62,9.160162012800258e-05
63,-1.241424035060912e-05
64,9.6589571169247e-05
65,-6.0370692317676454e-05
66,-1.820025952352975e-05
67,0.00015641056014018524
68,-4.7131691872914896e-05
69,-9.099853148645348e-06
70,-3.8462203735221536e-05
71,0.00010856604033005646
72,3.53866013264983e-05
73,-2.8574671413507797e-05
74,-0.00015626135682950197
75,-0.00010457695960872273
76,0.00010567364821983031
77,0.00017576068424431438
78,-0.00023349233927429512
79,1.2969511554053402e-05
80,0.00019811153621092275
81,2.3012324589513788e-05
82,5.123117440621267e-05
83,-6.730252659754015e-05
84,-8.517227312034706e-05
85,0.00023834784380764466
86,0.0003047762623855358
87,2.7817468643303263e-05
88,0.0002937994669979092
89,2.2665082346260755e-05
90,-0.00012765657192706351
91,1.511666227903617e-05
92,3.4459799219295355e-05
93,0.0002060347248611164
94,7.200146656600408e-05
95,-0.0001198894415534678
96,1.8790971647457983e-06
97,0.00010696502847535504
98,6.875107814387664e-05
99,4.316414350325904e-05
100,3.594663715149758e-05
101,7.724020107139173e-05
102,0.00014713890250333422
103,0.0002380135059373508
104,-0.0002005769393772116
105,-0.00016220054632275
106,-0.0001187868150047982
107,-7.308609842511252e-06
108,0.00016891237310329266
109,-8.372358040317498e-05
110,-2.8358772925446918e-05
111,4.138741736113529e-05
112,-0.00016300482406590838
113,9.381621231961104e-05
114,-0.00024088823437858973
115,6.079220966874676e-05
116,-9.256319399310739e-05
117,2.9464217440004856e-05
118,-0.0002395231606071249
119,5.313124351871038e-05
120,0.00019172329963703752
121,0.00012686079860685083
122,9.227726866987565e-05
123,-4.494318265197079e-05
124,-3.951094288765274e-05
125,-0.00011366258034479603
126,9.612006036875266e-05
127,-0.00012109934782329319
128,-6.336248200355058e-05
129,-5.020949735990623e-05
130,0.00033322005614754404
131,8.785668933960716e-05
132,-0.00016795420701932114
133,5.361029366150922e-05
134,-1.6785767326994583e-05
135,-0.00015016613807176057
136,0.00010019793980312358
137,0.00011685991175611158
138,0.00015101053833339292
139,6.147709502914899e-05
140,4.6191444285676735e-05
141,7.154673011226369e-05
142,-0.00016551216105273122
143,-0.00010320079719715441
144,6.92352488478686e-05
145,-0.00013461480157319125
146,0.00013907485756048472
147,-5.33539517162107e-05
148,0.00011913281750155793
149,-0.00010935409968474882
150,7.050993364230364e-05
151,0.00026948242746980996
152,-0.0001461108341426616
153,0.00030415603634925155
154,0.00017503648701345622
155,0.0001387359203094961
156,0.00010149465850020462
157,0.00010391551737704695
158,-9.6449786119015e-05
159,2.349702530634737e-05
160,-6.3611629626927165e-06
161,-0.00016140466862335685
162,2.3540928358751308e-05
163,7.703147483993411e-05
164,2.8025931947339934e-05
165,3.481478582806717e-05
166,0.00011016950575291323
167,-9.22827194087333e-05
168,-3.38719355895976e-05
169,0.00023200951851524054
170,1.0608893005239068e-05
171,5.516540712472057e-07
172,6.866756909684818e-05
173,-8.595216041439701e-05
174,-0.00010177022813622325
175,2.0273292242814608e-05
176,-4.057530083598993e-06
177,5.959447851282848e-05
178,-9.14685908442752e-06
179,6.926990093351394e-05
180,-7.90812443259606e-06
181,-0.00021412584650127653
182,0.00011461929939645704
183,-4.6989401015768505e-05
184,-6.269264542928001e-05
185,5.104925853485494e-05
186,-0.00011371683141181362
187,3.571994999641416e-05
188,0.00012455425598803006
189,-7.910086423840225e-05
190,-0.00015939940877921828
191,2.033931859710406e-05
192,0.00017851686609427007
193,-1.6701949150249117e-06
